"species_scientific"
"Persicaria maculosa"
"Persicaria odorata"
"Persicaria pensylvanica"
"Persicaria punctata"
"Petrorhagia dubia"
"Petrorhagia prolifera"
"Petunia hybrida"
"Phacelia cicutaria"
"Phacelia egena"
"Phacelia imbricata"
"Phalaris aquatica"
"Phalaris arundinacea"
"Phalaris canariensis"
"Phalaris caroliniana"
"Phalaris lemmonii"
"Phalaris minor"
"Phalaris paradoxa"
"Phaseolus vulgaris"
"Phelipanche ramosa"
"Philadelphus lewisii"
"Philodendron variifolium"
"Phleum pratense"
"Phoradendron leucarpum"
"Phoradendron macrophyllum"
"Phoradendron villosum"
"Phragmites australis"
"Phyla nodiflora"
"Phyllanthus acidus"
"Phyllospadix torreyi"
"Phyllostachys bambusoides"
"Physalis grisea"
"Physalis philadelphica"
"Physcomitrium pyriforme"
"Physostegia leptophylla"
"Phytolacca americana"
"Picris echioides"
"Pilularia americana"
"Pinus halepensis"
"Pinus sabiniana"
"Piper crocatum"
"Piper hispidum"
"Piper nigrum"
"Piptatherum miliaceum"
"Pistacia atlantica"
"Pistacia chinensis"
"Pisum sativum"
"Pittosporum tobira"
"Pityopsis ruthii"
"Plagiobothrys austiniae"
"Plagiobothrys bracteatus"
"Plagiobothrys canescens"
"Plagiobothrys fulvus"
"Plagiobothrys greenei"
"Plagiobothrys nothofulvus"
"Plagiobothrys reticulatus"
"Plagiobothrys shastensis"
"Plagiobothrys stipitatus"
"Plagiobothrys tenellus"
"Plagiobothrys torreyi"
"Plagiobothrys trachycarpus"
"Plagiobothrys undulatus"
"Planodes virginicum"
"Plantago coronopus"
"Plantago elongata"
"Plantago erecta"
"Plantago lanceolata"
"Plantago major"
"Plantago virginica"
"Platanus racemosa"
"Platystemon californicus"
"Plectritis ciliosa"
"Plectritis macrocera"
"Pleuridium acuminatum"
"Pleuridium subulatum"
"Pleuropogon californicus"
"Poa annua"
"Poa bulbosa"
"Poa pratensis"
"Poa secunda"
"Poa trivialis"
"Pogogyne douglasii"
"Pogogyne zizyphoroides"
"Polanisia dodecandra"
"Polygonum amphibium"
"Polygonum aviculare"
"Polygonum californicum"
"Polygonum hydropiper"
"Polygonum hydropiperoides"
"Polygonum lapathifolium"
"Polygonum punctatum"
"Polygonum runcinatum"
"Polypogon australis"
"Polypogon interruptus"
"Polypogon maritimus"
"Polypogon monspeliensis"
"Polypogon viridis"
"Polystichum dudleyi"
"Polytrichum juniperinum"
"Populus alba"
"Populus fremontii"
"Portulaca grandiflora"
"Potamogeton crispus"
"Potamogeton diversifolius"
"Potentilla anglica"
"Potentilla monspeliensis"
"Potentilla norvegica"
"Potentilla rivalis"
"Prunella vulgaris"
"Prunus tomentosa"
"Prunus virginiana"
"Pseuderanthemum variabile"
"Pseudobahia bahiifolia"
"Pseudobahia heermannii"
"Pseudobraunia californica"
"Pseudognaphalium californicum"
"Pseudognaphalium luteoalbum"
"Pseudognaphalium stramineum"
"Pseudognaphalium thermale"
"Pseudotsuga menziesii"
"Psilocarphus brevissimus"
"Psilocarphus oregonus"
"Psilocarphus tenellus"
"Ptelea crenulata"
"Pterostegia drymarioides"
"Ptychomitrium gardneri"
"Pulvigera howei"
"Pycnanthemum californicum"
"Pyrus calleryana"
"Pyrus communis"
"Quercus agrifolia"
"Quercus douglasii"
"Quercus gambelii"
"Quercus kelloggii"
"Quercus lobata"
"Quercus macrocarpa"
"Quercus moreha"
"Quercus rubra"
"Quercus wislizeni"
"Quercus x morehus"
"Ranunculus aquatilis"
"Ranunculus arvensis"
"Ranunculus bonariensis"
"Ranunculus californicus"
"Ranunculus canus"
"Ranunculus hebecarpus"
"Ranunculus muricatus"
"Ranunculus pusillus"
"Ranunculus sceleratus"
"Raphanus raphanistrum"
"Raphanus sativus"
"Reboulia hemisphaerica"
"Rhamnus crocea"
"Rhamnus ilicifolia"
"Rhaponticum repens"
"Rhus diversiloba"
"Rhus trilobata"
"Ribes aureum"
"Riccia californica"
"Riccia crinita"
"Riccia frostii"
"Riccia sorocarpa"
"Riccia trichocarpa"
"Robinia hispida"
"Rorippa curvipes"
"Rorippa curvisiliqua"
"Rorippa palustris"
"Rosa californica"
"Rosa canina"
"Rosa gymnocarpa"
"Rosa nutkana"
"Rosa rubiginosa"
"Rostraria cristata"
"Rubus armeniacus"
"Rubus bifrons"
"Rubus pensilvanicus"
"Rubus ulmifolius"
"Rubus ursinus"
"Rulac californica"
"Rumex acetosella"
"Rumex conglomeratus"
"Rumex crispus"
"Rumex occidentalis"
"Rumex pulcher"
"Rumex stenophyllus"
"Rumex transitorius"
"Rumex triangulivalvis"
"Sagina apetala"
